date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:47	302184/302184	---M--	200	added ('OK')	image/jpeg	etag:%2249c68-638ec1831f86a%22	https://themesdesign.in/tocly/layouts/assets/images/small/img-1.jpg	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/images/small/img-1.jpg	(from https://themesdesign.in/tocly/layouts/apps-chat.html)
19:41:48	251542/251542	---M--	200	added ('OK')	image/jpeg	etag:%223d696-638ec183217aa%22	https://themesdesign.in/tocly/layouts/assets/images/small/img-2.jpg	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/images/small/img-2.jpg	(from https://themesdesign.in/tocly/layouts/apps-chat.html)
19:41:48	9846/9846	---M-Z	200	added ('OK')	text/css	etag:%222676-638ec18341b4a-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/dropzone/min/dropzone.min.css	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/dropzone/min/dropzone.min.css	(from https://themesdesign.in/tocly/layouts/apps-file-manager.html)
19:41:49	19809/19809	---M--	200	added ('OK')	image/png	etag:%224d61-638ec183265ca%22	https://themesdesign.in/tocly/layouts/assets/images/upgrade-img.png	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/images/upgrade-img.png	(from https://themesdesign.in/tocly/layouts/apps-file-manager.html)
19:41:50	47487/47487	---M-Z	200	added ('OK')	text/javascript	etag:%22b97f-638ec18341b4a-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/dropzone/min/dropzone.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/dropzone/min/dropzone.min.js	(from https://themesdesign.in/tocly/layouts/apps-file-manager.html)
19:41:51	278/278	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Jun%202026%2016:41:51%20GMT	https://themesdesign.in/tocly/layouts/pages-faqs.html	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/pages-faqs.html	(from https://themesdesign.in/tocly/layouts/layouts-horizontal.html)
19:41:54	183845/183845	---M--	200	added ('OK')	image/png	etag:%222ce25-638ec1830df2a%22	https://themesdesign.in/tocly/layouts/assets/images/maintenance-bg.png	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/images/maintenance-bg.png	(from https://themesdesign.in/tocly/layouts/pages-maintenance.html)
19:41:56	5339/5339	---M-Z	200	added ('OK')	text/javascript	etag:%2214db-638ec183505aa-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/jquery-countdown/jquery.countdown.min.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/libs/jquery-countdown/jquery.countdown.min.js	(from https://themesdesign.in/tocly/layouts/pages-comingsoon.html)
19:41:59	350/350	---M-Z	200	added ('OK')	text/javascript	etag:%2215e-638ec1832a44a-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/coming-soon.init.js	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/js/pages/coming-soon.init.js	(from https://themesdesign.in/tocly/layouts/pages-comingsoon.html)
19:42:04	299284/299284	---M--	200	added ('OK')	image/png	etag:%2249114-638ec1830b04a%22	https://themesdesign.in/tocly/layouts/assets/images/faq.png	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/images/faq.png	(from https://themesdesign.in/tocly/layouts/pages-faq.html)
19:42:17	350136/350136	---M--	200	added ('OK')	image/jpeg	etag:%22557b8-638ec1832562a%22	https://themesdesign.in/tocly/layouts/assets/images/small/img-6.jpg	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/images/small/img-6.jpg	(from https://themesdesign.in/tocly/layouts/pages-profile.html)
19:42:44	188558/188558	---M--	200	added ('OK')	image/jpeg	etag:%222e08e-638ec183236ea%22	https://themesdesign.in/tocly/layouts/assets/images/small/img-5.jpg	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/images/small/img-5.jpg	(from https://themesdesign.in/tocly/layouts/ui-cards.html)
19:43:09	293741/293741	---M--	200	added ('OK')	image/jpeg	etag:%2247b6d-638ec183265ca%22	https://themesdesign.in/tocly/layouts/assets/images/small/img-7.jpg	C:/xampp/htdocs/announcement/advDash/themesdesign.in/tocly/layouts/assets/images/small/img-7.jpg	(from https://themesdesign.in/tocly/layouts/ui-cards.html)
